endTime,artistName,trackName,msPlayed,Language
6/4/20 20:24,Daniel Caesar,COMPLEXITIES,23153,en
6/5/20 13:32,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",46634,en
6/6/20 2:46,Miles Jaye,Let's Start Over,1677,en
6/6/20 2:48,Ty Law,Jaded,1437,en
6/6/20 2:48,Drake,Jaded,108265,en
6/6/20 2:52,Ty Law,Jaded,227160,en
6/6/20 2:55,John Givez,Westside Blues,178834,en
6/6/20 2:57,Kupla,Kingdom in Blue,132457,en
6/6/20 3:40,Monma,Meet You in the Park,115763,en
6/6/20 16:50,Q,Lavender,138312,en
6/6/20 17:17,less.people,Dimes,557,en
6/6/20 17:31,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",833666,en
6/7/20 2:08,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",739602,en
6/7/20 4:26,brillion.,Moon Theme,8962,en
6/7/20 4:26,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",487,en
6/7/20 4:28,Omar Apollo,Unbothered,124954,en
6/7/20 4:29,Kid Cudi,These Worries,26961,en
6/7/20 5:10,Crazy Frog,Popcorn,87552,en
6/7/20 21:06,Crazy Frog,Popcorn,3297,en
6/7/20 21:29,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",726343,en
6/7/20 21:50,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",184970,en
6/8/20 1:10,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",1606333,en
6/8/20 2:47,Spencer Hunt,"I Love You, Goodnight",45013,en
6/8/20 17:12,Sedliv,Be There For You,172500,en
6/8/20 17:13,Conro,All Eyes On Me,735,en
6/8/20 17:17,Daniel Caesar,OPEN UP,266226,en
6/8/20 17:45,Daniel Caesar,SUPERPOSITION,263794,en
6/8/20 17:49,Mac Miller,Dunno - Recorded at Spotify Studios NYC,224347,en
6/8/20 17:56,Daniel Caesar,LOVE AGAIN,214277,en
6/8/20 18:08,Mac Ayres,Get to You Again,267450,en
6/8/20 18:12,Daniel Caesar,COMPLEXITIES,230585,en
6/8/20 18:23,Raveena,No Better,4014,en
6/8/20 18:27,Dynoro,In My Mind,184560,en
6/8/20 18:29,CALVO,On The Move,155624,en
6/8/20 18:56,Lucas & Steve,Source,128450,en
6/8/20 19:05,Mac Miller,Dang! (feat. Anderson .Paak),305350,ms
6/8/20 19:17,Chance the Rapper,Blessings (feat. Jamila Woods),221939,en
6/8/20 21:23,Jeremih,oui,40553,fr
6/8/20 21:54,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",3712,en
6/8/20 22:04,Pardon My Take,"Dana White, Booger McFarland And Sour Grapes Documentary Review",566201,en
6/8/20 22:13,Dynoro,In My Mind,6656,en
6/8/20 22:17,Dynoro,In My Mind,80050,en
6/8/20 22:21,Bas,Boca Raton (with A$AP Ferg),194994,en
6/8/20 22:24,"Tyler, The Creator",EARFQUAKE,189997,en
